BenchmarkLabel,MethodFamily,SoftwareUsed,ImplementationStatus,LongitudinalAware,BenchmarkAdaptation
Lasso,L1-penalized model,scikit-learn estimator,Library implementation,No,Equal visit weights; participant-level splitting
ElasticNet,Elastic net,scikit-learn estimator,Library implementation,No,Equal visit weights; participant-level splitting
StabilitySelection,Stability selection,Project wrapper using scikit-learn sparse models,Compatible reimplementation,Partial,"Participants, not visits, are subsampled"
Stabl-RP,Stabl random-permutation logic,Project lightweight RP implementation,Compatible reimplementation,Partial,Participant subsampling plus permuted artificial features
LongGroupLasso,Grouped between/within effects,Project proximal-gradient implementation,Project adaptation,Yes,Pairs between-participant means with within-participant deviations
LLSS,Longitudinal-LASSO-inspired stability selector,Project implementation,Project adaptation,Yes,Participant-level resampling; not the official Longitudinal LASSO implementation
RandomForest,Tree ensemble importance,scikit-learn ExtraTrees,Library implementation under benchmark label,No,Benchmark label retained for continuity; implementation is ExtraTrees
MutualInfo,Mutual-information filter,scikit-learn estimators,Library implementation,No,Outcome association only
Boruta,Boruta shadow-feature principle,Project ExtraTrees shadow-feature ranking,Compatible reimplementation,No,Fixed-panel ranking rather than the official Boruta accept/reject procedure
mRMR,Minimum-redundancy maximum-relevance,Project greedy relevance-minus-correlation ranking,Compatible reimplementation,No,Uses univariate relevance and mean absolute-correlation redundancy
SNN-FS,Shared-nearest-neighbor observation weighting,Project implementation,Proposed method,No,Weighted elastic-net feature ranking
OutcomeSNN-FS,Outcome-coherent SNN weighting,Project implementation,Proposed method,No,SNN support modulated by local outcome coherence
geeVerse,Penalized quantile GEE,Official CRAN geeVerse package,Official package adapter,Yes,Regression tasks only; HBIC-tuned qpgee ranking
